Date,Day,High Temp (°F),Low Temp (°F),Precipitation,Brooklyn Bridge,Manhattan Bridge,Williamsburg Bridge,Queensboro Bridge,Total
6-Jun,Monday,82,66.9,0,"4,280","7,542","8,489","5,654","25,965"
7-Jun,Tuesday,84,71.1,T,"3,956","7,319","8,527","5,447","25,249"
8-Jun,Wednesday,66,52,0.45,"2,630","5,266","6,325","4,094","18,315"
9-Jun,Thursday,71.1,54,0,"3,733","6,933","7,913","5,017","23,596"
10-Jun,Friday,75.9,57,0,"3,932","6,697","8,077","5,079","23,785"
11-Jun,Saturday,87.1,63,0,"2,507","4,086","5,632","3,661","15,886"
12-Jun,Sunday,82,66.9,0,"2,684","4,475","5,513","3,855","16,527"
13-Jun,Monday,73.9,57.9,0,"3,696","6,952","7,913","5,108","23,669"
14-Jun,Tuesday,79,59,0,"4,075","7,751","8,942","5,600","26,368"
15-Jun,Wednesday,84,64.9,0,"3,966","7,559","9,037","5,840","26,402"
16-Jun,Thursday,72,66,0.22,"3,373","5,196","6,184","3,633","18,386"
17-Jun,Friday,75.9,66,0,"5,354","6,589","8,106","5,179","25,228"
18-Jun,Saturday,86,64,0,"4,804","5,077","6,344","4,309","20,534"
19-Jun,Sunday,87.1,68,0,"4,135","4,622","5,339","4,000","18,096"
20-Jun,Monday,82,66.9,0,"4,057","7,049","8,297","5,334","24,737"
21-Jun,Tuesday,86,72,T,"3,773","6,851","9,008","4,969","24,601"
22-Jun,Wednesday,84,69.1,0,"4,428","7,495","8,788","5,680","26,391"
23-Jun,Thursday,81,69.1,0,"3,580","6,204","7,660","5,066","22,510"
24-Jun,Friday,82.9,70,0,"4,283","6,660","7,925","5,572","24,440"
25-Jun,Saturday,84.9,66.9,0,"3,577","4,835","6,441","4,618","19,471"
26-Jun,Sunday,86,69.1,0,"2,895","4,767","5,834","4,050","17,546"
27-Jun,Monday,82.9,69.1,0.45,"3,985","6,571","7,557","5,315","23,428"
28-Jun,Tuesday,75,69.1,0.12,"3,004","4,813","6,400","4,410","18,627"
29-Jun,Wednesday,82,68,0.01,"4,066","7,142","8,594","5,994","25,796"
30-Jun,Thursday,84,68,0,"3,413","7,046","8,374","5,907","24,740"
1-Jul,Friday,78.1,70,0.83,"2,399","4,084","5,356","4,254","16,093"
2-Jul,Saturday,75,64.9,0,"2,710","4,017","5,270","3,973","15,970"
3-Jul,Sunday,77,66.9,0,"2,892","3,699","4,804","3,388","14,783"
4-Jul,Monday,82.9,68,0.49,"2,066","3,274","3,666","2,998","12,004"
5-Jul,Tuesday,86,71.1,0.66,"2,993","4,827","6,156","4,310","18,286"
6-Jul,Wednesday,91,77,0,"3,942","6,608","8,135","5,807","24,492"
7-Jul,Thursday,88,78.1,0.04,"3,340","5,295","7,049","5,118","20,802"
8-Jul,Friday,84.9,72,0.08,"3,026","4,927","6,289","4,740","18,982"
9-Jul,Saturday,72,66,0.53,"2,242","3,465","5,167","3,478","14,352"
10-Jul,Sunday,79,66.9,T,"3,493","4,736","5,495","3,938","17,662"
11-Jul,Monday,80.1,66,0,"4,214","7,230","8,601","5,880","25,925"
12-Jul,Tuesday,82.4,69.8,0,"5,152","7,745","9,148","6,392","28,437"
13-Jul,Wednesday,82.9,73,0,"5,885","6,926","8,564","6,204","27,579"
14-Jul,Thursday,87.1,75,0.62,"8,264","5,641","7,010","5,084","25,999"
15-Jul,Friday,87.1,80.1,0,"6,834","5,236","6,844","5,347","24,261"
16-Jul,Saturday,89.1,77,T,"5,293","3,663","4,878","4,010","17,844"
17-Jul,Sunday,89.1,75.9,0,"4,597","4,460","4,993","4,067","18,117"
18-Jul,Monday,91.9,73,0.35,"5,464","5,089","6,580","4,895","22,028"
19-Jul,Tuesday,82.9,73.9,0,"4,125","6,965","8,548","6,217","25,855"
20-Jul,Wednesday,82.9,70,0,"4,140","7,315","8,751","6,382","26,588"
21-Jul,Thursday,89.1,72,0,"4,057","6,887","8,284","6,056","25,284"
22-Jul,Friday,93.9,75,0,"3,218","5,178","6,865","5,115","20,376"
23-Jul,Saturday,96.1,81,0,"2,580","3,315","4,764","3,881","14,540"
24-Jul,Sunday,93,77,0,"2,948","3,615","4,517","3,495","14,575"
25-Jul,Monday,93,73.9,1,"2,670","3,707","4,975","3,971","15,323"
26-Jul,Tuesday,89.1,72,0,"3,668","6,187","7,520","5,606","22,981"
27-Jul,Wednesday,90,77,0,"3,724","6,610","8,015","5,878","24,227"
28-Jul,Thursday,95,78.1,T,"3,496","5,817","7,271","5,404","21,988"
29-Jul,Friday,82.9,69.1,1.09,"1,916","3,176","4,685","3,413","13,190"
30-Jul,Saturday,82.9,73,0.25,"1,944","3,016","4,062","3,529","12,551"
31-Jul,Sunday,77,73.9,1.08,"1,528","1,887","2,799","2,127","8,341"
1-Aug,Monday,78.1,70,T,"3,031","4,879","6,410","4,460","18,780"
2-Aug,Tuesday,77,70,0,"4,251","6,956","8,389","5,927","25,523"
3-Aug,Wednesday,78.1,66.9,0,"4,753","7,297","8,605","6,295","26,950"
4-Aug,Thursday,80.1,68,0,"4,465","6,935","8,617","6,246","26,263"
5-Aug,Friday,82,69.1,0,"4,254","6,072","7,500","5,765","23,591"
6-Aug,Saturday,84.9,75,0.05,"4,029","3,668","5,172","4,045","16,914"
7-Aug,Sunday,88,71.1,0,"3,526","4,430","5,364","4,026","17,346"
8-Aug,Monday,86,72,0,"4,266","6,362","7,897","5,615","24,140"
9-Aug,Tuesday,86,73,0,"4,707","7,113","8,510","6,223","26,553"
10-Aug,Wednesday,86,77,0.09,"3,077","4,893","6,641","4,934","19,545"
11-Aug,Thursday,91,80.1,0.15,"2,583","5,088","6,421","5,044","19,136"
12-Aug,Friday,93,75.9,0.32,"2,373","4,134","5,501","4,341","16,349"
13-Aug,Saturday,96.1,82,0,"3,481","3,134","4,226","3,721","14,562"
14-Aug,Sunday,93.9,78.1,0.06,"1,888","5,114","3,562","2,790","13,354"
15-Aug,Monday,91,77,0,"3,076","7,339","6,513","4,958","21,886"
16-Aug,Tuesday,87.1,78.1,0.11,"2,769","5,326","6,944","5,066","20,105"
17-Aug,Wednesday,84.9,77,0.01,"3,279","5,942","7,610","5,606","22,437"
18-Aug,Thursday,84,72,0.03,"3,179","5,658","7,411","5,487","21,735"
19-Aug,Friday,87.1,75,0.01,"3,060","4,700","6,867","5,265","19,892"
20-Aug,Saturday,82.9,70,0.82,"4,304","7,005","5,402","4,483","21,194"
21-Aug,Sunday,84.9,75,0.31,"1,937","4,866","3,920","3,048","13,771"
22-Aug,Monday,77,69.1,0,"3,699","4,973","7,866","5,515","22,053"
23-Aug,Tuesday,80.1,64,0,"3,961","4,115","8,766","6,072","22,914"
24-Aug,Wednesday,87.8,68,0,"3,633","3,087","8,395","6,112","21,227"
25-Aug,Thursday,86,71.6,0,"3,330","2,959","7,724","5,787","19,800"
26-Aug,Friday,89.6,77,0,"2,973","5,296","6,691","5,007","19,967"
27-Aug,Saturday,88,75.2,0,"2,849","5,401","5,703","4,215","18,168"
28-Aug,Sunday,87.1,73,0,"2,995","5,904","4,969","3,805","17,673"
29-Aug,Monday,90,73.9,0,"3,355","5,748","7,388","5,289","21,780"
30-Aug,Tuesday,84,70,0,"3,617","5,340","8,424","5,927","23,308"
31-Aug,Wednesday,88,75,T,"3,359","4,212","7,972","5,853","21,396"
1-Sep,Thursday,78.1,70,T,"1,608","3,012","4,435","3,498","12,553"
2-Sep,Friday,80.1,66,0,"3,594","6,657","7,116","5,376","22,743"
3-Sep,Saturday,73.9,68,0,"2,850","7,357","5,115","3,961","19,283"
4-Sep,Sunday,79,64.9,0,"2,871","6,949","4,800","3,275","17,895"
5-Sep,Monday,82.9,66,0,"2,465","6,248","4,904","3,583","17,200"
6-Sep,Tuesday,79,72,T,"2,796","5,121","6,071","4,441","18,429"
7-Sep,Wednesday,82.9,72,0,"3,268","4,216","7,988","5,486","20,958"
8-Sep,Thursday,88,71.1,0,"3,285","4,470","8,007","5,782","21,544"
9-Sep,Friday,90,81,0.22,"3,026","6,060","6,734","5,030","20,850"
10-Sep,Saturday,90,75,T,"5,136","7,072","5,544","4,303","22,055"
11-Sep,Sunday,82,75,0,"2,654","6,433","5,426","3,736","18,249"
12-Sep,Monday,78.1,62.1,0,"3,691","3,445","8,230","5,768","21,134"
13-Sep,Tuesday,82,64.9,0,"3,783","9,152","8,972","6,315","28,222"
14-Sep,Wednesday,90,69.1,0.56,"3,318","6,787","7,982","5,819","23,906"
15-Sep,Thursday,73,62.1,0,"3,665","7,598","8,708","6,261","26,232"
16-Sep,Friday,73,62.1,0,"3,428","5,143","7,729","5,880","22,180"
17-Sep,Saturday,75.9,60.1,0,"2,951","5,210","6,727","4,813","19,701"
18-Sep,Sunday,81,71.1,0,"2,356","4,066","5,175","3,482","15,079"
19-Sep,Monday,72,69.1,0.68,"1,063","2,260","3,123","2,505","8,951"
20-Sep,Tuesday,82,69.1,0,"3,661","7,044","8,039","5,961","24,705"
21-Sep,Wednesday,84,69.1,0,"3,613","7,411","8,452","6,295","25,771"
22-Sep,Thursday,86,64.9,0,"3,663","7,532","8,470","6,098","25,763"
23-Sep,Friday,86,64,0.01,"3,663","6,702","8,104","5,074","23,543"
24-Sep,Saturday,71.1,57.9,0.2,"2,567","4,693","5,674","3,827","16,761"
25-Sep,Sunday,69.1,54,0,"2,971","5,013","5,900","3,763","17,647"
26-Sep,Monday,71.1,55,0,"3,575","7,159","8,006","5,283","24,023"
27-Sep,Tuesday,73.9,64,0.22,"2,985","5,942","7,063","4,369","20,359"
28-Sep,Wednesday,68,60.1,0,"3,150","6,225","7,363","4,883","21,621"
29-Sep,Thursday,64,60.1,0,"2,188","4,728","5,649","3,828","16,393"
30-Sep,Friday,59,57,0.4,756,"1,542","2,422","1,906","6,626"
1-Oct,Saturday,62.1,57,0,"1,260","2,440","3,590","2,394","9,684"
2-Oct,Sunday,63,57,0,"1,659","3,157","3,915","2,831","11,562"
3-Oct,Monday,71.1,61,0,"3,079","5,729","6,918","4,446","20,172"
4-Oct,Tuesday,68,60.1,0,"3,133","6,160","7,543","4,734","21,570"
5-Oct,Wednesday,66,54,0,"3,410","6,906","8,020","5,097","23,433"
6-Oct,Thursday,73,55.9,0,"3,580","6,957","8,897","5,160","24,594"
7-Oct,Friday,73.9,57,0,"3,288","6,209","7,624","4,826","21,947"
8-Oct,Saturday,68,59,0.23,"1,584","2,757","3,875","2,838","11,054"
9-Oct,Sunday,57.9,51.1,0.55,621,"1,173","2,045","1,439","5,278"
10-Oct,Monday,63,46.9,0,"2,838","5,205","6,054","3,763","17,860"
11-Oct,Tuesday,63,46.9,0,"3,184","6,201","7,227","4,334","20,946"
12-Oct,Wednesday,64,53.1,0,"2,879","6,040","7,189","4,367","20,475"
13-Oct,Thursday,66.9,55,T,"3,079","6,171","7,144","4,379","20,773"
14-Oct,Friday,61,48,0,"2,925","5,477","6,604","4,015","19,021"
15-Oct,Saturday,64.9,46,0,"2,444","4,323","5,350","3,418","15,535"
16-Oct,Sunday,69.1,54,0,"2,291","4,057","5,001","3,007","14,356"
17-Oct,Monday,80.1,63,0,"3,465","6,719","7,731","4,662","22,577"
18-Oct,Tuesday,81,66.9,0,"4,029","7,594","8,761","5,098","25,482"
19-Oct,Wednesday,84,69.1,0,"3,966","7,447","8,582","5,625","25,620"
20-Oct,Thursday,70,62.1,0,"2,869","5,588","7,089","4,857","20,403"
21-Oct,Friday,69.1,66,1.11,"1,246","2,566","3,558","2,772","10,142"
22-Oct,Saturday,50,46.9,0.29,544,"1,254","2,108","1,517","5,423"
23-Oct,Sunday,61,46,0,"1,899","3,271","4,020","2,707","11,897"
24-Oct,Monday,61,51.1,T,"3,041","5,470","6,357","4,030","18,898"
25-Oct,Tuesday,51.1,46,0,"2,616","5,224","5,760","4,054","17,654"
26-Oct,Wednesday,50,37.9,0,"2,520","4,909","5,649","3,870","16,948"
27-Oct,Thursday,54,41,1.41,651,"1,558","2,137","1,902","6,248"
28-Oct,Friday,46.9,44.1,0,"2,021","3,872","4,271","3,202","13,366"
29-Oct,Saturday,63,39,0,"1,639","3,160","4,027","2,920","11,746"
30-Oct,Sunday,75,57.9,0.56,"1,702","2,971","3,531","2,547","10,751"
31-Oct,Monday,54,44,0,"2,648","4,876","5,440","3,720","16,684"
